,i
0,457.2581787478754
1,318.536514737976
2,132.27000758968245
3,50.24759837509585
4,210.25750620334213
5,212.96750240363932
6,296.5722256339627
7,674.1536563905948
8,274.22653760187734
9,440.5333315366747
10,169.852786516255
11,171.3356357902533
12,149.30162268458585
13,614.2382199939641
14,735.6416401515846
15,139.96899475655667
16,224.81990555517197
17,118.36741436847849
18,242.53854921614882
19,145.26454249824954
20,693.37749285804
21,148.78111334175313
22,425.61484557074533
23,77.928590569321
24,223.12724107714618
25,167.8945167318458
26,180.40681670245448
27,155.84183929031866
28,201.66766724818606
29,256.89857895318585
30,558.237744091652
31,124.48917103136606
32,413.3475348099098
33,211.32249177015967
34,189.45703023191183
35,104.330465840586
36,284.0231720812728
37,329.2242405314908
38,729.3056702174129
39,245.45582409605407
40,455.2615786980811
41,232.8940535778212
42,292.63998266179055
43,293.80620077128924
44,588.6951883150424
45,98.83871880341665
46,189.22519287943246
47,4079.228631016093
48,226.9213133064517
49,223.54783417653346
50,87.50554352636637
51,175.72951473704583
52,746.6366903100015
53,521.6129582366423
54,203.1554199921199
55,32.87249173129521
56,218.2989820208064
57,260.31625963427626
58,393.30158010603805
59,217.11147782627876
60,478.5731365109089
61,238.10451043523898
62,193.43113534086777
63,156.89309651244702
64,347.6749854228283
65,116.97375274571708
66,782.4066063880134
67,261.0861274772464
68,165.44417174060393
69,907.8509881195379
70,187.44981817078624
71,226.29472038583614
72,37.041850208813734
73,63.4296806280354
74,4273.42519578111
75,510.51943718837543
76,154.12793556352847
77,259.66450100879365
78,204.16219439913138
79,32.64563476435962
80,480.3647041450072
81,404.19498949354085
82,867.058589884826
83,444.24814605134014
84,359.49002342244677
85,232.0772240252749
86,1094.207722867651
87,239.6892087509436
88,96.76366840092157
89,117.19074746139654
90,233.78767284789663
91,261.9604154147676
92,231.59053627859453
93,94.1591108800015
94,146.1989823589857
95,84.10018473151109
96,112.78281590664471
97,141.40293316534414
98,167.78453796987603
99,515.9226301267519
100,134.8766817487859
101,87.77559104300002
102,188.22163380384285
103,383.147755422855
104,190.51168318344574
105,138.81661513675655
106,145.48826192589075
107,179.92035754163828
108,328.51304975559015
109,76.72572355953814
110,158.5065428930005
111,102.25807550134374
112,59.82018213605666
113,156.88841105461822
114,71.8945899779469
115,192.2964632440263
116,247.72269923144196
117,210.44522803573744
118,318.4000055958541
119,1415.1724665962051
120,1139.7287322931988
121,625.6184580302092
122,143.24257739210435
123,137.44318581682796
124,447.18125995632005
125,186.66247526493126
126,232.8981449404796
127,372.0051077105526
128,280.57603998182014
129,140.52432539414875
130,80.9202647899826
131,167.73149088277478
132,461.6716804326634
133,99.62981559077188
134,158.9878833110282
135,187.240829713343
136,167.27245143216976
137,201.08607733593226
138,18.390978708401203
139,143.59656681743908
140,157.22280751376138
141,212.37682819789603
142,177.8588265453073
143,394.45296279574404
144,165.3680412576333
145,92.87687758583068
146,266.70935692429106
147,569.6241888394543
148,116.61141683098958
149,392.80649812029253
150,780.8220637194199
151,303.9523638043852
152,252.31811936421335
153,139.88369756786742
154,871.2835179698554
155,140.60210898597902
156,105.8444311012804
157,279.05368240521506
158,172.18441886582744
159,335.385179528658
160,205.51918530229236
161,789.2718374771928
162,155.27097665103463
163,177.12950430943803
164,180.46482359575182
165,1431.1279051960184
166,125.82640043605946
167,387.1824767795513
168,806.4863646058193
169,377.6958610167297
170,297.89537798315285
171,203.25715906113416
172,418.8781933728691
173,198.8599175116933
174,210.84858281858257
175,161.6728630251052
176,828.7365386103332
177,123.9127196324173
178,1097.9393548697487
179,81.12095221175393
180,515.5031660988491
181,2802.179324497308
182,166.71359704201808
183,198.69055793626723
184,200.13243898347847
185,240.24144557276946
186,569.0450910634747
187,222.84402305745942
188,58.29710881333094
189,733.0898554757383
190,4081.371862410889
191,158.50682134692178
192,185.4384601406636
193,848.6092813498354
194,217.39008346935643
195,170.76860619276516
196,1626.5197913184197
197,408.534590982707
198,360.8630545745583
199,1052.3019970004268
200,357.66701940449013
201,157.66894748293265
202,145.2584180429457
203,203.141858631128
204,280.01617519946836
205,93.21097584889888
206,513.2504382864216
207,151.1741666745576
208,21.23544440145078
209,207.68959890225224
210,144.51799219580272
211,293.9321656950094
212,120.78601295303447
213,284.0845499167829
214,50.00728165266041
215,235.08001619524853
216,97.86598197231775
217,65.78587774698475
218,539.0992720642661
219,162.19202410682314
220,3949.501199380994
221,527.062262142463
222,203.3421591468264
223,608.5564734219707
224,125.17161122944066
225,584.6489658739926
226,203.4622197858738
227,100.40678116809445
228,649.4909946266907
229,184.27717287630358
230,138.70302114090381
231,691.9963504260794
232,346.3606513252004
233,126.59064860743717
234,396.74912206627613
235,174.3457970155829
236,253.7316165880875
237,595.7572266685168
238,51.37041656480204
239,149.16949051071126
240,45.953873749329944
241,112.65984470268111
242,131.50288656173333
243,1327.187631592028
244,191.5691782384508
245,243.12553823920103
246,148.92101132408845
247,748.9013876572178
248,316.6017783056452
249,101.73522682624723
250,136.12375247985847
251,223.35901859462498
252,144.23646049899804
253,185.88464376527602
254,63.55214776028745
255,457.87310146401916
256,329.2681987568541
257,158.38852249366929
258,1470.4459985844878
259,418.7376682341305
260,171.8547269902626
261,173.41688595990198
262,105.74555701534062
263,1043.4384619498835
264,571.0188366035366
265,216.08335839550114
266,195.71785430240348
267,152.89255411685872
268,293.9626325338643
269,77.73361587540118
270,61.25389090550317
271,1286.584205673333
272,995.6612758871422
273,348.7908205473057
274,385.86246942614076
275,117.87437874135716
276,1484.002646982289
277,40.14084125585711
278,236.0836114745131
279,244.22782916116293
280,245.43685201393964
281,142.73165709109244
282,48.86289916582562
283,222.86555535751762
284,801.7935241080125
285,307.54889273199075
286,186.2363435263642
287,208.6268310783937
288,946.5682435665407
289,312.1170680457994
290,103.98098620616229
291,594.14557433354
292,511.39011977068776
293,1776.0966575534158
294,2211.102937106806
295,725.9847088930761
296,268.8634406468877
297,323.6457657237254
298,132.30928278156185
299,626.599574318258
300,137.22074820226007
301,278.82876082658964
302,305.19583075983235
303,193.83797158907208
304,129.53472685650402
305,607.2514696041164
306,227.1646141435227
307,452.4145286843999
308,1284.8811543838065
309,294.1930433677558
310,289.56604429137616
311,226.1131177849401
312,111.7507564229115
313,283.08619064960305
314,167.2836182203092
315,195.63672865278016
316,1985.1192659678866
317,179.07464622641416
318,529.4128121491586
319,218.0858639949439
320,530.0968308246106
321,176.4273460408197
322,161.62600716710753
323,204.32401346265232
324,216.250447302254
325,156.1665976192444
326,1088.3873651382983
327,262.98080804389906
328,281.4107683560258
329,135.609871362898
330,237.86369952451298
331,198.96230158720175
332,68.97098463805074
333,212.60640216213937
334,204.98301595895876
335,149.74290914111958
336,423.77204815722513
337,130.4376230985526
338,571.0429121744369
339,656.0895000739338
340,1298.080844019895
341,348.1486561897389
342,621.0336406467771
343,169.74301595522553
344,297.95294903640337
345,242.0647905191808
346,269.46632520998645
347,117.0732530002287
348,199.5976994350449
349,99.09428951699559
350,244.1265959784908
351,122.29575729291122
352,303.1822981480525
353,213.47317329506632
354,578.0048755336497
355,259.1468186125202
356,299.0578465364488
357,221.80784985454133
358,149.38452714994264
359,307.196830991724
360,1805.2855757855339
361,141.45535680002922
362,253.66387334954788
363,127.7168991646126
364,296.1682064629881
365,79.87245758943911
366,106.98852556462623
367,268.2152538012709
368,160.5464216378096
369,485.0344621521405
370,118.2236073548805
371,938.4765929421112
372,331.55048368274316
373,186.15129939133635
374,184.38532901826858
375,387.60577762563025
376,415.2106427129821
377,249.78881128342297
378,247.3826200522085
379,279.3926320552936
380,382.286498736102
381,220.60629614358677
382,148.5197131818567
383,639.4444306092361
384,961.0585143159794
385,616.4412704588144
386,162.0769539999195
387,548.4289539884209
388,250.81554225982552
389,134.27359424748826
390,1563.6012926589867
391,144.66735048528352
392,206.88047093140327
393,95.31058320505907
394,707.6384875573242
395,156.13395421237098
396,235.01931702780698
397,141.83083970195045
398,270.81598778633764
399,137.18748592417842
400,625.4832901486087
401,130.22606571873516
402,163.72443809324926
403,405.9127204684079
404,1032.6539656704902
405,52.123464925828095
406,235.10562190481727
407,397.8441957539224
408,175.69679454061105
409,625.447030563892
410,318.14001693285167
411,616.1922485428848
412,210.38238908599246
413,135.09531958411392
414,108.22442836784961
415,138.86881178586796
416,157.48596847723863
417,184.10794204075523
418,93.01632069428564
419,226.32771856216127
420,135.1190543095946
421,227.96295163760925
422,97.28044687290863
423,435.78951563188673
424,182.85762777984758
425,384.2343115368311
426,53.93427197624171
427,141.94699529599862
428,460.31438675708347
429,158.39130498157093
430,233.5906187298774
431,129.17205305907964
432,132.07009419756886
433,123.21376374144762
434,3142.8212819237983
435,661.3036086890547
436,1407.909439593961
437,40.43910143118369
438,313.9719956102989
439,165.5232450477107
440,60.329387186701986
441,138.5483806578464
442,249.4529071560142
443,125.78728183790257
444,165.92996378702207
445,375.90466162887986
446,184.53406632626798
447,203.41325793265148
448,119.26473228423025
449,217.00585381609554
450,561.2664083506194
451,141.43696904741594
452,431.6325420429002
453,172.79378602317857
454,284.4850786899552
455,701.8013286447924
456,186.31357107180574
457,178.32436104050126
458,264.85713166044525
459,326.03166310552814
460,579.6379108971978
461,831.586194460943
462,318.8455547075455
463,206.34401259023008
464,121.20283269342687
465,173.7752160810522
466,270.38814984688844
467,199.17982411379143
468,321.01329838039953
469,111.7513453731917
470,114.5890075545694
471,342.8500852322673
472,157.16619701624148
473,393.4536131743567
474,186.46222599746804
475,120.45566322939506
476,114.80843557593063
477,387.4737016792405
478,242.9573164398692
479,180.36213558435503
480,86.11414760850097
481,267.4530231379686
482,109.83985019899774
483,184.23282777921494
484,142.1254018429364
485,189.00061159210745
486,412.33218614572996
487,256.8967737506695
488,231.92683231615237
489,171.08809921026628
490,466.60952133534533
491,180.60024555617235
492,368.31354920538996
493,895.2962172849379
494,189.76114365787495
495,218.1337590830127
496,130.22126158635
497,156.50907835195406
498,439.88373540984213
499,274.0936088143869
500,158.93342928223
501,153.96258896053064
502,91.5736492870049
503,166.89498296723477
504,165.3273752089953
505,114.17647830395751
506,1461.4788160852213
507,1212.4201649313136
508,169.23565457640484
509,393.3416558480934
510,225.10682112776834
511,377.39739914945085
512,135.39753631023038
513,143.1140475799401
514,158.00028893584775
515,179.9949660059412
516,147.6295592099603
517,466.6792017473576
518,165.39477010726378
519,112.3874500555206
520,285.3399580553597
521,1634.8674895106494
522,427.29597705669437
523,792.0484031136432
524,128.64011437174213
525,282.1860076023024
526,237.79058473655175
527,301.1291448404426
528,329.09471358160965
529,3338.802595813504
530,266.818548421545
531,210.45114325613676
532,605.7587503223232
533,369.48264027847796
534,118.78486039364645
535,664.7980103373403
536,941.3198715079744
537,134.6219726203235
538,163.0906029324748
539,11411.531852571525
540,131.08886692207363
541,464.25146095868627
542,178.9472840706596
543,2505.944505589812
544,468.31681081876263
545,173.81154780089923
546,91.5503260420117
547,164.06879339062976
548,456.05324176091887
549,132.87413288558847
550,212.68148744750917
551,352.20069235774673
552,125.84121121488677
553,1004.9466078108264
554,269.04109211459206
555,503.1941447047019
556,405.7245109226262
557,106.85084667581745
558,225.99596813153957
559,2983.987157975729
560,822.2398447841597
561,159.05604693909714
562,115.86873385525868
563,142.81517840916604
564,538.4953904162428
565,185.17835580267376
566,125.9347583283368
567,139.1828931098251
568,226.55486056649048
569,357.48045541690743
570,82.34454039130112
571,129.28374635950829
572,122.27277146694642
573,119.0070964025167
574,226.92490109627298
575,324.5242426494713
576,1135.025287536137
577,113.63719929007915
578,266.13554854373103
579,126.87161103466669
580,257.7343934585862
581,203.03197363095236
582,89.11145111964389
583,360.3986755759373
584,350.35802390547457
585,703.6271254313505
586,86.14107958179987
587,145.51356694552817
588,163.56115134142706
589,296.52429767095396
590,436.49977332199353
591,212.54217112474313
592,268.19169570638934
593,160.0395564864042
594,112.72042244340848
595,225.68095830301286
596,240.6647021397756
597,170.29347656942358
598,304.4333107434224
599,335.4924278361505
600,496.068069338167
601,589.4589083177758
602,184.3328621257342
603,100.96216958862057
604,236.0276287702151
605,356.11403853211425
606,174.18782865072532
607,92.91686035933161
608,96.70894776558235
609,114.40174829512783
610,160.14389593665103
611,132.4127554987324
612,133.56804177674485
613,160.4018017306413
614,162.28408199311556
615,134.83640756863323
616,694.4026545142282
617,141.7531234196019
618,284.7075607673097
619,528.9182636184385
620,176.36010280234953
621,138.09034456740662
622,501.7350490032236
623,592.5924127807349
624,423.18731083420965
625,1112.8039379611162
626,328.1975223637714
627,227.87926876203792
628,345.4218502973761
629,411.05567506612664
630,112.67409535922371
631,111.31187212802726
632,130.16156787125766
633,216.7060399173591
634,120.96608312816606
635,546.7378334772844
636,112.48937257130888
637,151.64762585398654
638,157.79114398083468
639,1075.6576889992523
640,1339.3411691917759
641,150.73448785137924
642,868.0614286937528
643,209.66698157694884
644,421.39203603043524
645,123.42607105549627
646,150.76308899158582
647,466.8382760199187
648,377.2403040613611
649,222.02655528045003
650,1170.1979193378063
651,3173.457138575479
652,124.91021176317443
653,3026.9694641196406
654,63.78736965567521
655,172.64268296034322
656,79.10680609228035
657,105.47431455511895
658,156.3647989466409
659,85.49387685121549
660,662.4372698207046
661,151.41124317917928
662,490.338455646158
663,1200.5912831145338
664,105.95921852996648
665,122.0281438036108
666,184.68000369132778
667,180.6592667511736
668,517.8576567988575
669,2005.4843742372834
670,171.75693829209894
671,204.92576798607675
672,448.664529164388
673,353.75711496407223
674,152.90490982034694
675,549.0709827000729
676,92.63994584983757
677,71.09229821875066
678,159.0093908088932
679,1067.2571848978891
680,149.69293640228426
681,216.8278964545794
682,1135.1429358801001
